Smiles,CodeID,MolecularWeight,cLogS,cLogP,HBD,HBA,PSA,ROTATABLE_BONDS,DG,Ki,LIGAND_EFFICIENCY,BEI,SEI,NSEI,NBEI,nBEI,mBEI
OC(=O)c1onc(c1)c1ccccc1,CC64501,189.169,Null,2.1,1.0,2.0,32.24,Null,-6.0,39.95,-0.43,23.2516068508,13.642938016,1.099620804087497444975062776,0.3141773725964278414214465074,5.544611252028227833450366582,3.675333184398790223923794853
NCc1onc(c1)c1ccccc1,CC64513,174.202,Null,1.52,1.0,2.0,33.14,Null,-5.7,66.29,-0.44,23.9868197896,12.608786907,1.392850660327489908159375265,0.3214270754601899788060096766,5.292495333289306504783189861,3.419605117784870062784347475
CNCc1ccc(s1)C.Cl,CC65096,177.698,Null,-1.36,2.0,1.0,29.46,Null,-3.7,1939.11,-0.41,15.2640859997,9.20705211804,2.712397553975451377371412122,0.3013775059972723752634902358,3.666640063414776264102682732,1.962080093801845850716588770
OCc1c(C)coc1C,CC65809,126.154,Null,1.74,1.0,2.0,38.0,Null,-4.4,594.9,-0.49,25.5684007727,8.48830534493,1.612778015537517449454374441,0.3583951145638927665454165424,4.179798540514359803180033936,2.326457056442989949401017766
OC(=O)c1cnc(nc1)c1ccccc1,CC66301,200.196,Null,2.3,1.0,2.0,36.7,Null,-5.8,55.99,-0.39,21.2386338014,11.5855300613,1.062972383126254057898807177,0.2834593021670010821063485805,5.427980791560697480246650508,3.553344928349203837099083783
OC(=O)c1cnc(nc1)c1cccs1,CC66501,206.224,Null,1.95,1.0,3.0,30.97,Null,-5.0,216.07,-0.36,17.7739037555,11.8353423573,0.9163513820169294829742955872,0.2618146805762655665640844535,4.811533563745955916962853152,2.979744734413046209064016041
NCC1CCN(CC1)Cc1cccs1,CC66713,210.343,Null,0.85,1.0,3.0,36.76,Null,-4.5,502.5,-0.32,15.6832598846,8.97405857973,1.649431966953736752160251617,0.2356331381362481074514645167,4.444991969585711495107426986,2.621791997624606423174989461
OCCC1CCOCC1,CC67409,130.186,Null,1.1,1.0,2.0,33.21,Null,-3.8,1637.93,-0.42,21.3978819732,8.38815014323,1.392852331282713944959791627,0.3095227402850475433243981393,3.739947172004752742949055545,1.900268945955370586475895430
CCOC(=O)CC1CCOCC1,CC67423,172.222,-1.46,2.02,0.0,3.0,32.1,Null,-4.4,594.9,-0.37,18.7290591857,10.048461156,1.075185343691678299636249627,0.2687963359229195749090624068,4.304737277122659726631254575,2.461644659425663350878700873
OC(=O)c1cccc(c1)c1ccc(cn1)C(F)(F)F,CC67701,267.205,Null,1.54,1.0,3.0,14.0,Null,-6.7,12.26,-0.35,18.3810539841,35.0822109273,1.637169843272534594815420831,0.2585005015693475676024348681,6.190263130770432723478819358,4.338354110313076055391155739
Cc1scc(n1)c1ccccc1N,CC68414,190.269,Null,1.76,1.0,2.0,34.72,Null,-5.4,109.99,-0.42,20.8055269011,11.4016324826,1.979323398976512852302768810,0.3045112921502327465081182785,5.072590150259862433678023142,3.238014833609281307719982853
COc1ccsc1CN,CC68613,143.209,Null,1.64,1.0,2.0,47.0,Null,-3.9,1383.52,-0.43,19.9639307471,6.08300969866,1.429507279184226351694085510,0.3176682842631614114875745579,3.813257067807777569469802288,2.014984870526843754161714614
CNCc1sccc1OC,CC68646,157.236,Null,2.25,1.0,2.0,52.0,Null,-3.6,2295.68,-0.36,16.7842520119,5.0751704795,1.319544324670073155768922168,0.2639088649340146311537844335,3.639088649340146321793259305,1.835640636408676961296090146
NCc1cnc(nc1)Nc1ccccc1,CC69213,200.244,Null,1.62,2.0,4.0,39.0,Null,-5.6,78.48,-0.37,20.501193572,10.5262589888,1.026310251407026984453529840,0.2736827337085405291876079574,5.281332264683789212706725201,3.406800517620688298829843386
OC(=O)c1cc2c(s1)cccn2,CC70301,179.198,Null,2.48,1.0,3.0,36.0,Null,-4.7,358.53,-0.39,19.2271928196,9.5707624969,1.148491499627413237112539233,0.2871228749068533092781348083,4.524655744929864555476567651,2.698807657144669346175739699
OC(=O)c1ccc(cc1)Cc1cccs1,CC70601,218.275,Null,1.95,1.0,2.0,26.0,Null,-5.2,154.16,-0.35,17.4643376399,14.6616473014,1.906014149176301725970666896,0.2541352198901735634627555861,4.988119557408284665387822464,3.151032295244543043315305593
Nc1ccc(cc1)Cc1cccs1,CC70614,189.281,Null,1.84,1.0,1.0,36.0,Null,-5.2,154.16,-0.4,20.1395190133,10.5889674954,3.812028298352603451941333791,0.2932329460271233424570256762,4.925971650659440235465239117,3.089135320085606333434453175
OC(=O)c1cccc2c1OCCC2,CC76101,178.186,Null,1.64,1.0,3.0,53.0,Null,-5.6,78.48,-0.43,23.0390771757,7.74573774647,1.368413668542702645938039787,0.3157877696637006106010861047,5.219184357934944725769948423,3.356114584332349186271803819
NCc1onc(n1)c1ccccc1,CC76913,175.19,Null,1.64,1.0,4.0,31.0,Null,-5.7,66.29,-0.44,23.8515439293,13.4791999387,1.044637995245617431119531449,0.3214270754601899788060096766,5.292495333289306504783189861,3.422061293609244941151141232
NCC(c1ccccc1)(C)C,CC77013,149.236,Null,1.56,1.0,1.0,46.0,Null,-4.7,358.53,-0.43,23.0874219282,7.49016195409,3.445474498882239711337617700,0.3132249544438399737579652455,4.486867184040464793128928316,2.619348098932025787064596445
Nc1ccc2c(c1)COC2,CC77214,135.165,Null,2.45,1.0,2.0,52.0,Null,-4.7,358.53,-0.47,25.4908778077,6.62591249785,1.722737249441119855668808850,0.344547449888223971133761770,4.445474498882239711337617700,2.576338747627638048365801533
Cn1ncc(c1)C(=O)O,CC77401,126.114,Null,2.32,1.0,4.0,53.0,Null,-3.9,1383.52,-0.43,22.6700807077,5.39436709126,0.7147536395921131758470427552,0.3176682842631614114875745579,3.813257067807777569469802288,1.959777858940383640610414838
N#CCCn1cccc1,CD01949,120.154,-1.85,0.82,0.0,2.0,28.72,Null,-3.8,1637.93,-0.42,23.1844521411,9.69952876938,1.392852331282713944959791627,0.3095227402850475433243981393,3.739947172004752742949055545,1.865442895874397405656321572
Fc1ccc(cc1)n1cccc1,CD02331,161.178,-2.29,1.67,0.0,1.0,4.93,Null,-5.0,216.07,-0.42,22.7413513511,74.3489965125,3.665405528067717931897182349,0.3054504606723098276580985291,4.744586774115342732379498475,2.872711290532808663877179666
COC(=O)c1ccccc1n1cccc1,CD02568,201.224,-2.39,1.76,0.0,3.0,31.23,Null,-5.0,216.07,-0.33,18.2155484836,11.7368092477,1.221801842689239310632394116,0.2443603685378478621264788233,4.841496787123399156953352878,2.969085305872884951512873208
N#Cc1ccccc1n1cccc1,CD03418,168.198,-2.35,1.79,0.0,2.0,28.72,Null,-5.4,109.99,-0.42,23.5356353699,13.7835891294,1.979323398976512852302768810,0.3045112921502327465081182785,5.072590150259862433678023142,3.184467625359462073596348683
c1ccc(cn1)n1cccc1,CD03810,144.176,-1.79,0.56,0.0,2.0,17.82,Null,-4.5,502.5,-0.41,22.8808118821,18.5121432879,1.649431966953736752160251617,0.2998967212643157731200457485,4.340256619065698515788177037,2.457756906253115389243517584
c1ccc(cn1)Cn1cccc1,CD04045,158.203,-1.95,0.93,0.0,2.0,17.82,Null,-4.5,502.5,-0.38,20.8520946752,18.5121432879,1.649431966953736752160251617,0.2749053278256227920267086028,4.378045179955098332043008927,2.498078648663899672435011792
OC(=O)CSCc1ccccc1,CD04055,182.242,-2.26,2.4,1.0,2.0,37.3,Null,-4.8,302.84,-0.4,19.3083195009,9.43374467155,1.759393381243895750079162230,0.2932322302073159583465270384,4.597968008535416308445525175,2.779435235378422711634914516
OCc1c(OC)cccc1OC,CD04716,168.191,Null,2.61,1.0,3.0,38.69,Null,-5.6,78.48,-0.47,24.4082085583,10.6105996527,1.368413668542702645938039787,0.3421034171356756614845099468,5.184422251675732784285948957,3.331043758356871951408558171
