Smiles	CodeID	MolecularWeight	cLogS	cLogP	HBD	HBA	PSA	ROTATABLE_BONDS	DG	Ki	LIGAND_EFFICIENCY	BEI	SEI	NSEI	NBEI	nBEI	mBEI
OC(=O)c1ccc2c(c1)CCO2	CC00801	164.159	-1.58	1.22	1.0	3.0	46.53	Null	-5.3	130.22	-0.44	23.6680432324	8.35014465719	1.295107436329707397391030811	0.3237768590824268493477577028	4.964503555036747042494998218	3.100587006856732050467205203
NCc1ccc2c(c1)CCO2.Cl	CC00813	185.653	Null	1.13	2.0	2.0	35.25	Null	-4.8	302.84	-0.44	18.9535680139	9.98237379429	1.759393381243895750079162230	0.3198897056807083181962113146	4.560179447646016550626176922	2.787488733948805066159368107
OC(=O)c1cccc2c1OCC2	CC00901	164.159	-1.6	1.46	1.0	3.0	46.53	Null	-5.5	92.91	-0.46	24.5611726431	8.66524293987	1.343979179974516947278957785	0.3359947949936292368197394463	5.111118785971175669559379048	3.247202237791160710818391105
Cc1oc(c(c1)C(=O)O)C	CC01101	140.137	-0.99	1.19	1.0	3.0	50.44	Null	-4.5	502.5	-0.45	23.5402779702	6.54017433368	1.099621311302491168106834411	0.3298863933907473504320503234	4.298863933907473504320503234	2.445416749952204243018570601
OCc1ccc2c(c1)OCCO2	CC01309	166.175	-0.91	0.36	1.0	3.0	38.69	Null	-5.2	154.16	-0.43	22.939842325	9.85274825111	1.270676099450867817313777930	0.3176690248627169543284444826	4.891209544400228279663839484	3.032593985798781833030212893
NCc1ccc2c(c1)OCCO2	CC01313	165.191	-1.47	0.7	1.0	3.0	44.48	Null	-4.6	424.45	-0.38	20.4137844197	7.5813252295	1.124057820694023504917090410	0.2810144551735058762292726026	4.451354708129695370207492366	2.590159844310916420181761767
OCc1cccc2c1OCCO2	CC01409	166.175	-0.86	0.61	1.0	3.0	38.69	Null	-5.4	109.99	-0.45	23.8221561484	10.2317053449	1.319548932651008568201845873	0.3298872331627521420504614683	5.037828044000650532328043313	3.179212485399204070567770733
NC(=S)c1cccc2c1OCCO2	CC01418	195.241	-2.11	1.55	1.0	3.0	44.48	Null	-4.8	302.84	-0.37	18.0227860054	7.91094146243	1.172928920829263833386108154	0.2706759048067531923198711124	4.632730114794628288800134598	2.809357785880028183040798045
OCC1COc2c(O1)cccc2	CC01509	166.175	-0.72	0.83	1.0	3.0	38.69	Null	-5.1	182.51	-0.42	22.4986510299	9.66325493642	1.246237778300513883657245589	0.3115594445751284709143113972	4.817894580949166494818804838	2.959279022347720045691640609
NCC1COc2c(O1)cccc2	CC01513	165.191	-1.03	1.15	1.0	3.0	44.48	Null	-5.0	216.07	-0.42	22.1888936326	8.24056998217	1.221801842689239310632394116	0.3054504606723098276580985291	4.744586774115342732379498475	2.883391910296563795994595429
CNCc1ccc2c(c1)OCO2	CC01646	165.191	-1.16	1.35	1.0	3.0	30.49	Null	-4.8	302.84	-0.4	21.3013224842	11.5407896441	1.172928920829263833386108154	0.2932322302073159583465270384	4.597968008535416308445525175	2.736773144716637375429294194
OCc1cccc2c1OCO2	CC01709	152.148	-0.5	0.68	1.0	3.0	38.69	Null	-5.3	130.22	-0.48	25.5364665259	10.0421874102	1.295107436329707397391030811	0.3532111189990111083793720395	4.926714994147347227273442382	3.067588556878361499836495081
NCc1cocc1	CC02113	97.116	-0.53	0.59	1.0	2.0	39.16	Null	-3.6	2295.68	-0.51	27.1746020155	6.73924578483	1.319544324670073155768922168	0.377012664191449473076834905	3.484186689354403142250060593	1.626379435780323321124865698
NCc1ccc(s1)c1ccccn1.Cl.Cl	CC02213	263.191	Null	1.1	3.0	2.0	38.91	Null	-4.9	255.8	-0.38	13.6482609962	9.23181562544	1.796049729928682455035091106	0.2763153430659511469284755548	4.706042812164201708038355470	3.012370494050172237423322010
OC(=O)c1cccn1C	CC02701	125.126	-1.63	0.46	1.0	3.0	42.23	Null	-4.2	833.8	-0.47	24.6067013187	7.29087878098	1.026312703069907160818915582	0.3421042343566357202729718607	4.033180618649046385282771656	2.176285670568197262727223609
NCc1cccn1C	CC02713	110.159	-1.53	0.37	1.0	2.0	30.95	Null	-3.8	1637.93	-0.47	25.2880351362	9.00066126839	1.392852331282713944959791627	0.3482130828206784862399479068	3.688794649557371475560799938	1.827724647399143460711007911
OCc1cnccn1	CC03409	110.115	0.27	-0.16	1.0	3.0	46.01	Null	-3.9	1383.52	-0.49	25.9638973652	6.2138981925	0.9530048527894842344627236737	0.3573768197960565879235213776	3.762104545360396289029387706	1.900861041495585510999886298
NCc1nc2c(n1C)cccc2	CC03813	161.207	-1.83	1.16	1.0	3.0	43.84	Null	-4.9	255.8	-0.41	22.282527805	8.19365752705	1.197366486619121636690060738	0.2993416216547804091725151844	4.671280705904989737792687906	2.799483355858502101405169115
OC(=O)c1ccccn1	CC04001	123.111	-0.46	0.32	1.0	3.0	50.19	Null
OC(=O)c1cccnc1	CC04101	123.111	-0.27	0.32	1.0	3.0	50.19	Null	-4.3	704.29	-0.48	25.6049295187	6.28063055983	1.050749492659819254244438404	0.3502498308866064180814794679	4.106490987418782612252216693	2.242545336969838207843762518
